NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
PIK3CA(5290)	1	19	2	0.21	PIK3CA	5290
PIK3R1(5295)	1	126	8	0.18	PIK3R1	5295
PIK3R3(8503)	0	11	3	0.01	PIK3R3	8503
PIWIL1(9271)	0	1	1	0.16	PIWIL1	9271
PML(5371)	0	50	1	0.82	PML	5371
POLA(5422)	0	13	1	0.45	POLA	5422
PPARBP(5469)	0	27	3	0.1	PPARBP	5469
PPM1A(5494)	0	13	1	0.45	PPM1A	5494
PPP2CA(5515)	0	44	1	0.85	PPP2CA	5515
PRKAR2A(5576)	0	31	3	0.15	PRKAR2A	5576
PRKCA(5578)	0	168	10	0.16	PRKCA	5578
PRKDC(5591)	0	39	2	0.54	PRKDC	5591
PRKRA(8575)	0	8	0	1	PRKRA	8575
PSEN1(5663)	1	50	3	0.3	PSEN1	5663
PTEN(5728)	1	21	1	0.54	PTEN	5728
PTK2(5747)	0	81	5	0.2	PTK2	5747
PTPN22(26191)	0	3	0	1	PTPN22	26191
PTPRD(5789)	0	8	0	1	PTPRD	5789
PTPRF(5792)	0	21	0	1	PTPRF	5792
RAC1(5879)	0	89	4	0.5	RAC1	5879
RAF1(5894)	0	89	3	0.76	RAF1	5894
RB1(5925)	0	124	8	0.11	RB1	5925
RCHY1(25898)	0	5	0	1	RCHY1	25898
RICS(9743)	0	22	2	0.2	RICS	9743
RPGR(6103)	0	13	0	1	RPGR	6103
RRM2(6241)	0	5	0	1	RRM2	6241
RUNX1(861)	0	22	2	0.2	RUNX1	861
RUNX1T1(862)	0	26	1	0.73	RUNX1T1	862
RUNX2(860)	0	24	2	0.28	RUNX2	860
RYR2(6262)	1	12	3	0	RYR2	6262
SF3B1(23451)	0	10	0	1	SF3B1	23451
SH3KBP1(30011)	0	26	2	0.27	SH3KBP1	30011
SKP2(6502)	0	25	1	0.73	SKP2	6502
SMAD3(4088)	0	175	11	0.16	SMAD3	4088
SMAD5(4090)	0	33	1	0.78	SMAD5	4090
SMARCA4(6597)	0	36	4	0.08	SMARCA4	6597
SMARCB1(6598)	0	16	1	0.61	SMARCB1	6598
SP1(6667)	0	87	8	0.03	SP1	6667
SP3(6670)	0	16	1	0.48	SP3	6670
SRC(6714)	0	192	8	0.5	SRC	6714
SRPR(6734)	0	2	0	1	SRPR	6734
STK11(6794)	0	21	2	0.18	STK11	6794
SUV39H1(6839)	0	20	0	1	SUV39H1	6839
SYK(6850)	0	73	3	0.56	SYK	6850
TBL1X(6907)	0	11	1	0.4	TBL1X	6907
TBL1XR1(79718)	1	8	1	0.36	TBL1XR1	79718
TBP(6908)	0	81	5	0.25	TBP	6908
TBX3(6926)	0	1	0	1	TBX3	6926
TEP1(7011)	0	4	0	1	TEP1	7011
TFAP2A(7020)	0	21	1	0.67	TFAP2A	7020
THRB(7068)	0	35	1	0.79	THRB	7068
TLE1(7088)	0	55	4	0.23	TLE1	7088
TLR4(7099)	0	22	1	0.69	TLR4	7099
TOP2A(7153)	0	19	1	0.55	TOP2A	7153
TP53(7157)	0	238	11	0.4	TP53	7157
TSC2(7249)	0	21	2	0.23	TSC2	7249
TUBG1(7283)	0	20	2	0.15	TUBG1	7283
UBB(7314)	0	55	6	0.02	UBB	7314
UBE2I(7329)	0	95	4	0.58	UBE2I	7329
USH2A(7399)	0	2	0	1	USH2A	7399
VIL2(7430)	0	44	1	0.84	VIL2	7430
WNT7A(7476)	0	3	0	1	WNT7A	7476
YAP1(10413)	0	18	0	1	YAP1	10413
YBX1(4904)	0	18	0	1	YBX1	4904
YWHAE(7531)	0	58	5	0.07	YWHAE	7531
YWHAG(7532)	0	241	3	1	YWHAG	7532
YWHAZ(7534)	0	107	2	0.96	YWHAZ	7534
ZBTB16(7704)	0	83	3	0.75	ZBTB16	7704
ZFP36L1(677)	1	2	1	0.07	ZFP36L1	677
