cytoband	11q13.3	8q24.21	8p11.23	17q12	17q23.1	20q13.2	1q21.3	6q21	15q26.3	3q26.32	12q15	1p22.3	1q44	12p13.33	8p11.21	10q22.3	11q14.1	10p15.1	6p23	11p13	4q13.3	14q21.1	19q12	19q13.42	3p26.1	13q12.3	13q34	17p11.2	
										TBL1XR1			LGALS8	LOC100288778		LOC642361	INTS4	CALML5		LINC00294	ADAMTS3			ZNF135			F10		
													MTR			LOC650623	GDPD4	ANKRD16		LOC338739	PPBPL2			ZNF154			FGF14		
													NID1			SFTPA1	AQP11	FAM208B		CCDC73	ANKRD17			ZNF264			GPC5		
													RGS7			SFTPA2	KCTD21	ASB13		C11orf91	RASSF6			ZNF256			GAS6		
													RYR2			LOC100288974	NDUFC2-KCTD14	TUBAL3			COX18			ZNF211			GPR18		
													TARBP1					AKR1E2			MTHFD2L			TRAPPC2P1			ING1		
													TBCE					FBXO18						ZNF274			IPO5		
													GPR137B					RBM17						ZNF460			LAMP1		
													ZNF124					UCN3						U2AF2			LIG4		
													KMO					LOC338588						PPP6R1			PCCA		
													EXO1					AKR1CL1						ZIM2			DNAJC3		
													GGPS1					tAKR						HSPBP1			RAP2A		
													TOMM20					LOC399715						ZNF544			GRK1		
													CEP170					LOC100216001						UBE2S			SLC10A2		
													AKT3					MIR3155A						CCDC106			SLC15A1		
													ZNF238					MIR3155B						EPN1			SOX1		
													SDCCAG8											ZNF580			TFDP1		
													RBM34											GP6			TPP2		
													OPN3											ZNF581			ZIC2		
													TRIM58											PPP1R12C			STK24		
													AHCTF1											ZNF586			CUL4A		
													OR1C1											EPS8L1			IRS2		
													OR2M4											ZNF444			PROZ		
													OR2L2											ZNF416			ARHGEF7		
													OR2L1P											NAT14			CDC16		
													OR2T1											VN1R1			CLDN10		
													PPPDE1											ZNF304			ITGBL1		
													SCCPDH											ZNF471			TM9SF2		
													ARID4B											USP29			GPC6		
													KIF26B											ZNF71			MBNL2		
													HEATR1											ZNF667			FARP1		
													ZNF692											ZSCAN18			ABCC4		
													ERO1LB											ZSCAN5A			TUBGCP3		
													FMN2											ZNF329			TNFSF13B		
													ZNF695											ZNF419			SOX21		
													ZP4											ISOC2			RASA3		
													TFB2M											ZNF552			DZIP1		
													GREM2											ZNF671			MYO16		
													SMYD3											ZNF606			ATP11A		
													ZNF669											BRSK1			MCF2L		
													ZNF672											SUV420H2			DOCK9		
													PCNXL2											ZNF587			TGDS		
													SH3BP5L											FIZ1			OXGR1		
													OR2G3											GALP			BIVM		
													OR2G2											ZNF628			TMCO3		
													OR2C3											ZNF551			ARGLU1		
													EFCAB2											ZNF835			DCUN1D2		
													KIAA1804											RDH13			ANKRD10		
													ZNF496											ZIM3			RAB20		
													ZNF670											ZNF543			CARKD		
													NLRP3											COX6B2			UGGT2		
													FAM36A											NLRP13			PCID2		
													OR2M5											NLRP8			UPF3A		
													OR2M3											NLRP5			KDELC1		
													OR2T12											ZNF787			CARS2		
													OR14C36											ZFP28			GRTP1		
													OR2T34											LOC147670			TMTC4		
													OR2T10											C19orf18			ABHD13		
													OR2T4											ZNF418			ZIC5		
													OR2T11											ZNF417			A2LD1		
													OR2B11											ZNF548			TEX30		
													WDR64											TMEM190			ADPRHL1		
													EDARADD											ZNF524			TEX29		
													SLC35F3											ZNF784			METTL21CP1		
													B3GALNT2											NLRP4			SPACA7		
													C1orf150											ZNF542			RNF113B		
													LOC148824											ZNF582			GPR180		
													LOC149134											ZNF583			CLYBL		
													CNST											ZNF550			METTL21C		
													PLD5											ZNF579			NALCN		
													C1orf100											ZSCAN4			HS6ST3		
													OR2T6											NLRP11			DAOA		
													LOC255654											TMEM86B			DAOA-AS1		
													C1orf101											ZNF549			FGF14-IT1		
													PGBD2											SSC5D			LOC283481		
													OR2L13											ZNF547			LINC00346		
													OR14A16											ZIK1			CHAMP1		
													HNRNPU-AS1											ZNF776			UBAC2		
													VN1R5											ZSCAN1			FAM70B		
													LOC339529											TMEM150B			C13orf35		
													LOC339535											FAM71E2			FLJ44054		
													OR6F1											NLRP9			CCDC168		
													OR2W3											RFPL4A			FLJ41484		
													OR2T8											ZSCAN5B			MIR623		
													OR2T3											ZNF530			LINC00460		
													OR2T29											C19orf51			FAM155A		
													IRF2BP2											ZNF773			LINC00552		
													C1orf31											LOC386758			FKSG29		
													C1orf229											TMEM238			UBAC2-AS1		
													OR2M1P											ZNF470			MCF2L-AS1		
													OR11L1											ZNF749			MIR4306		
													OR2L8											ZNF805			MIR3170		
													OR2AK2											ZNF772			LOC100506394		
													OR2L3											DUXA			BIVM-ERCC5		
													OR2M2											SBK2			MIR2681		
													OR2T33											SHISA7			MIR548AN		
													OR2M7											ZNF814			MIR4705		
													OR2G6											MIMT1					
													OR2T2											LOC100128252					
													OR2T5											LOC100128398					
													OR14I1											SGK110					
													OR2T27											PEG3-AS1					
													OR2T35											ZNF587B					
													MAP1LC3C											ZNF865					
													OR2W5																
													OR13G1																
													RPS7P5																
													LOC646627																
													SNORA14B																
													LOC731275																
													LOC100130331																
													LGALS8-AS1																
													MIR1537																
													LINC00184																
													MIR3123																
													MIR3124																
													MIR3916																
													LOC100506795																
													LOC100506810																
													ZNF670-ZNF695																
													MIR4753																
													MIR4677																
													MIR4671																
													MIR4427																
